MEMORIAL-JANICE MITCHELL,2021-12-15,2022-01-05,Resolution Adopted
IMDMA-NONPARENT VISITATION,2021-11-24,2022-01-05,Referred to Rules Committee
ENVIRONMENTAL JUSTICE ACT,2021-02-18,2022-03-04,House Floor Amendment No. 1 Rule 19(c) / Re-referred to Rules Committee
SCHOOL CODE-HAIRSTYLES,2021-02-25,2021-08-13,Public Act . . . . . . . . . 102-0360
ADOPTION-RELATED CHILD DEF,2021-01-29,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
SCH CD-CHARACTER EDUCATION,2021-01-13,2021-04-23,Rule 19(a) / Re-referred to Rules Committee
OCCUPATIONAL SAFETY-VARIOUS,2022-01-18,2022-04-22,Public Act . . . . . . . . . 102-0705
SINGLE PRIME CONSTRUCTION,2022-01-21,2022-10-21,Chief Sponsor Changed to Sen. Don Harmon
AQUACULTURE DEVELOPMENT ACT,2021-02-26,2021-08-20,Public Act . . . . . . . . . 102-0555
ETHICS-TECH,2021-01-29,2021-05-31,Rule 3-9(a) / Re-referred to Assignments
HUMAN TRAFFICKING-OMNIBUS,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
MUSIC THERAPY LICENSING,2021-02-26,2022-05-27,Public Act . . . . . . . . . 102-0993
INS-TELEHEALTH SERVICES,2021-02-19,2021-07-22,Public Act . . . . . . . . . 102-0104
NURSING HOME-INFECTION POLICY,2021-02-16,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
WORKER COMP MRSA PRESUMPTION,2021-02-19,2021-08-20,Public Act . . . . . . . . . 102-0493
GRANTS-EXPAND&SUPPORT NIBIN,2022-01-19,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
URGES REDOUBLING CONSERVATION,2021-02-17,2021-05-06,Resolution Adopted
DNR-ABOLISH ADVISORY BOARD,2022-01-21,2022-05-09,Rule 19(b) / Motion Referred to Rules Committee
LIMIT RESTRAINT/SECLUSION USE,2021-05-27,2021-06-01,Resolution Adopted
REVENUE-SUBSTANCE ABUSE,2021-11-23,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
SCH CD-EDUCATION EQUITY COMM,2021-02-18,2021-08-20,Public Act . . . . . . . . . 102-0458
AQUACULTURE DEVELOPMENT ACT,2021-02-19,2021-04-27,Referred to Assignments
EPA-CCR SURFACE IMPOUNDMENTS,2021-02-25,2021-08-06,Public Act . . . . . . . . . 102-0309
EMERGENCY MEDICAL DISPATCHERS,2022-01-11,2022-05-27,Public Act . . . . . . . . . 102-1006
FINANCE-CREDIT UNION/VARIOUS,2022-01-11,2022-05-13,Public Act . . . . . . . . . 102-0774
VETERANS HOME ADMISSIONS,2022-01-28,2022-03-04,Added Co-Sponsor Rep. Charles Meier
RESTRICTED USE PESTICIDE,2022-01-28,2022-01-31,Referred to Rules Committee
PROCUREMENT CD-EXEMPTION,2021-02-17,2021-08-27,Public Act . . . . . . . . . 102-0600
CHILD CARE-DAY CARE HOMES-GUNS,2021-02-04,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
CD CORR-VISITATION RESTRICT,2021-09-07,2022-05-09,Rule 19(b) / Motion Referred to Rules Committee
STATE GOV-REPORTS,2021-02-22,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
PROP TAX-SCHOOL HOUSING,2021-02-19,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
SCH CD-CLASSROOM PLACEMENT,2021-02-18,2022-04-08,Added Co-Sponsor Rep. Chris Miller
EPA-GREAT LAKES CCR PROTECTION,2022-01-11,2022-04-11,Rule 19(a) / Re-referred to Rules Committee
DHFS-PANDEMIC FUNDS-NURSING,2022-01-21,2022-06-15,Chief Sponsor Changed to Sen. Don Harmon
SCH CD-STUDENT TRAUMA-PLAN,2021-11-04,2022-03-25,Rule 3-9(a) / Re-referred to Assignments
WILDLIFE CD-WILD SWINE,2021-02-19,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
PESTICIDES-PENALTIES,2021-02-26,2022-02-10,Rule 3-9(a) / Re-referred to Assignments
LANDSCAPE ARCHITECTS,2021-02-17,2021-08-06,Public Act . . . . . . . . . 102-0284
ADOPTION-VARIOUS,2021-02-03,2021-07-23,Public Act . . . . . . . . . 102-0139
HHS BUDGET,2021-03-31,2021-05-21,Resolution Adopted
DCEO-DOWNSTATE ECON DEVELOPMNT,2021-02-18,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
EPA-PACKAGING STEWARDSHIP,2021-12-06,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
COMMISSION ON LGBTQ AGING,2022-01-20,2022-03-04,Rule 19(a) / Re-referred to Rules Committee
UTILITIES-INTERVENOR COMP,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
SEXUAL EXPLOITATION OF A CHILD,2022-01-20,2022-01-21,Referred to Rules Committee
EPA-CCR SURFACE IMPOUNDMENTS,2021-02-19,2021-07-23,Public Act . . . . . . . . . 102-0137
MUNI CD-TIF CONTIGUOUS PARCELS,2022-01-11,2022-03-25,Rule 19(a) / Re-referred to Rules Committee
HUMAN RIGHTS-ELECTED OFFICIALS,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
EARLY CHILDHOOD TEACHER-QUALIF,2021-02-17,2021-04-23,House Floor Amendment No. 1 Rule 19(c) / Re-referred to Rules Committee
SCH-EDUCATION PRIORITIZATION,2021-01-27,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
ARTS EDUCATION FUNDING,2021-02-03,2021-04-23,Resolution Adopted 099-000-000
EDUCATION-TECH,2021-02-11,2021-07-18,Rule 19(b) / Re-referred to Rules Committee
SCH CD-TEACHING STANDARDS,2021-02-19,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
EPA-PERMITS,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
JUV CT-ABUSED/NEGLECTED MINORS,2022-01-26,2022-03-04,Referred to Assignments
ANIMALS-INFORMATIONAL MEETING,2022-01-05,2022-01-05,Referred to Assignments
MEDICAID-AUTISM TREATMENT,2021-01-13,2022-01-11,Added Co-Sponsor Rep. Suzanne Ness
ANTIBIOTICS-ANIMALS,2022-01-21,2022-01-21,Referred to Assignments
DHS-DISABILITY SERVICES,2021-02-26,2021-04-23,Rule 3-9(a) / Re-referred to Assignments
CONGRATS-GUARDIAN ANGEL 125YRS,2022-09-21,2022-09-21,Filed with the Clerk by Rep. Natalie A. Manley
AGR-SOIL & PLANT ADDITIVES,2021-02-26,2022-02-25,Rule 3-9(a) / Re-referred to Assignments
MENTAL HLTH ASSESSMENT REFORM,2022-01-28,2022-04-04,Added Co-Sponsor Rep. Joyce Mason
BLACK FARMER RESTORATION ACT,2021-02-19,2022-03-04,Rule 19(a) / Re-referred to Rules Committee
CRIM TRANSMISSION HIV REP,2021-02-24,2021-04-20,Added as Co-Sponsor Sen. Laura M. Murphy
LOCAL GOV-BEST VALUE BIDDING,2022-01-07,2022-03-04,Referred to Assignments
WHOLE CHILD MONTH,2021-04-08,2021-05-06,Resolution Adopted
SCH CD-SEX OFFENSE CHARGE,2022-01-28,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
EQUAL OPPORTUNITY-HIGHER ED,2022-01-25,2022-03-07,Referred to Assignments
REVENUE-SUBSTANCE ABUSE,2022-01-21,2022-04-01,Added as Co-Sponsor Sen. Cristina H. Pacione-Zayas
SCH CD-STATE FUNDING-NONPUBLIC,2021-02-11,2022-02-25,Rule 19(a) / Re-referred to Rules Committee
WEEK OF THE YOUNG CHILD,2021-05-10,2021-05-10,Referred to Assignments
PESTICIDES-NEONICOTINOIDS,2021-02-19,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
PROTECT SMOKE FREE IL ACT,2022-03-08,2022-05-10,Pursuant to Senate Rule 3-9(b) / Referred to Assignments
FINANCE-CREDIT UNIONS/VARIOUS,2021-02-19,2021-08-20,Public Act . . . . . . . . . 102-0496
COMMISSION-PROCURE & CONTRACTS,2021-02-16,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
HUMAN RIGHTS-TECH,2021-02-25,2021-07-16,Senate Floor Amendment No. 1 Pursuant to Senate Rule 3-9(b) / Referred to Assignments
SCH CD-AWARD OF CONTRACTS,2021-02-17,2021-04-23,Rule 19(a) / Re-referred to Rules Committee
OUTDOOR RECREATION INDUSTRY,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
EDUCATION-TECH,2021-02-26,2021-02-26,Referred to Assignments
CYBERSECURITY-INFORMATION TECH,2022-01-27,2022-03-16,Added as Alternate Co-Sponsor Sen. Sally J. Turner
PESTICIDES-SCHOOLS,2021-02-26,2021-08-20,Public Act . . . . . . . . . 102-0548
EDUCATION-TECH,2021-02-25,2022-05-10,Pursuant to Senate Rule 3-9(b) / Referred to Assignments
EPA-FOOD WASTE REDUCTION,2021-02-18,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
SAFETY-TECH,2021-02-25,2021-07-16,Senate Floor Amendment No. 1 Pursuant to Senate Rule 3-9(b) / Referred to Assignments
MIN WAGE DELAY IMPLEMENTATION,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
ANCRA-DIFFERENCE OF OPINION,2021-02-16,2021-03-27,House Committee Amendment No. 1 Rule 19(c) / Re-referred to Rules Committee
EMERGENCY TELEPHONE SYSTEM,2021-02-18,2021-02-19,Referred to Rules Committee
SCH CD-CONTRACT-FOOD SERVICE,2022-01-25,2022-06-29,Public Act . . . . . . . . . 102-1101
BUDGET RESULTS-CLEANUP,2021-02-11,2021-08-06,Public Act . . . . . . . . . 102-0278
WIPES LABELING ACT,2021-02-19,2021-08-06,Public Act . . . . . . . . . 102-0286
JUV CT&CRIM CD-NEGLECTED MINOR,2021-12-22,2022-03-25,Rule 3-9(a) / Re-referred to Assignments
LANDSCAPE ARCHITECTS,2021-02-25,2021-02-25,Referred to Assignments
UTILITIES-INTERVENOR COMP,2021-02-17,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
REVENUE-SUBSTANCE ABUSE,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
FINANCE-TECH,2021-02-11,2021-04-23,Rule 19(a) / Re-referred to Rules Committee
HUMAN RTS-FAMILY LEAVE,2021-03-16,2022-04-04,Added Co-Sponsor Rep. Joyce Mason
ILLINOIS-CLIMATE CHANGE,2021-02-23,2021-02-23,Referred to Assignments
REGULATION-TECH,2021-02-25,2021-07-16,Senate Floor Amendment No. 1 Pursuant to Senate Rule 3-9(b) / Referred to Assignments
CORPORATE GIVEAWAYS COMPACT,2021-02-25,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
NURSING-DELEGATION,2022-01-12,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
EDUCATION-TECH,2022-01-21,2022-01-21,Referred to Assignments
PHARMACY-PRESCRIPTION LIMITS,2021-01-13,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
SCH CD-ST FUNDING-CHARTER SCH,2022-01-28,2022-01-31,Referred to Rules Committee
AVERAGE STUDENT ENROLLMENT,2021-02-25,2021-06-25,Public Act . . . . . . . . . 102-0033
WEEK OF THE YOUNG CHILD,2022-04-01,2022-04-09,Resolution Adopted
STUDENT PARENT DATA COLLECTION,2021-02-18,2021-07-28,Public Act . . . . . . . . . 102-0174
PUBLIC-PRIVATE PARTNERSHIP ACT,2021-02-26,2022-02-10,Senate Committee Amendment No. 1 Rule 3-9(a) / Re-referred to Assignments
BPNC/COMMUNITY ORGANIZATIONS,2022-03-28,2022-03-28,Referred to Assignments
GAS LEAF BLOWER-ALTERNATIVES,2021-05-18,2021-05-18,Referred to Assignments
ELECTRIC VEHICLES,2021-02-26,2022-04-30,Chief Sponsor Changed to Sen. Don Harmon
HLTH CARE SURROGATE-DEFINITION,2022-01-05,2022-05-06,Public Act . . . . . . . . . 102-0744
MEMORIAL-NELLIE X. YEISLEY,2022-03-30,2022-04-01,Resolution Adopted
LEAD IN SCHOOLS REPORTING,2021-01-13,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
LONG-TERM CARE FACILITIES,2021-05-17,2021-06-01,Resolution Adopted
DPT RETURNING RESIDENT AFFAIRS,2022-01-12,2022-04-18,Added as Co-Sponsor Sen. Jacqueline Y. Collins
HEALTHY SOIL ACT,2022-01-27,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
HUMAN RIGHTS-ANTI-SEMITISM,2021-01-13,2021-06-14,Added Co-Sponsor Rep. Avery Bourne
ADOPTION-RELATED CHILD DEF,2021-02-09,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
NURSING-DELEGATION,2021-02-26,2022-02-23,"Added as Co-Sponsor Sen. Elgie R. Sims, Jr."
SCH CD-SCH DISCIPLINE/COVID-19,2022-01-14,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
EPA-LABORATORY EQUIPMENT,2021-02-19,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
CRIM CD-DIS CONDUCT-PROTESTS,2021-09-21,2021-10-19,Referred to Rules Committee
WORKPLACE COVID-19 SAFETY ACT,2021-02-26,2021-03-22,Added as Co-Sponsor Sen. Cristina H. Pacione-Zayas
SOIL HEALTH WEEK,2022-02-01,2022-03-31,Referred to Rules Committee
NEGLECTED CHILD-DISREGARD,2021-02-26,2021-08-20,Public Act . . . . . . . . . 102-0567
SCH CD-SEX ABUSE-SEX EDUCATION,2021-02-11,2021-04-23,House Floor Amendment No. 3 Rule 19(c) / Re-referred to Rules Committee
SCH CD-INTERPRETER-MEETINGS,2022-01-27,2022-06-10,Public Act . . . . . . . . . 102-1072
AGING-DHS-DHFS-DON SCORES,2021-02-01,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
GOOD FOOD TASK FORCE,2021-04-14,2021-06-01,Adopted Both Houses
CONGRATS-BULAT FAMILY/API,2022-01-13,2022-02-15,Resolution Adopted
SAFETY-TECH,2021-02-26,2021-02-26,Referred to Assignments
CONGRATS-FIRST NAT'L BANK,2022-01-25,2022-02-15,Resolution Adopted
SCH CD-SEX ED/FAMILY LIFE,2021-02-17,2021-04-20,Added as Co-Sponsor Sen. Laura M. Murphy
REGULATION-TECH,2021-02-24,2021-02-24,Referred to Assignments
DCFS-FICTIVE KIN-FOSTER FAMILY,2021-02-17,2021-02-17,Referred to Assignments
EMPLOYMENT&ACCOMODATION-WEIGHT,2022-01-19,2022-03-04,Rule 19(a) / Re-referred to Rules Committee
CARBON CAPTURE TASK FORCE,2021-01-28,2021-07-18,Rule 19(b) / Re-referred to Rules Committee
CHILDREN'S OUTDOOR RIGHTS,2021-01-13,2021-04-23,Resolution Adopted 099-000-000
TECHNOLOGY DEVELOPMENT ACCOUNT,2022-01-21,2022-05-27,Public Act . . . . . . . . . 102-1023
HIGHER ED MENTAL HEALTH COMM,2021-01-13,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
DPT RETURNING RESIDENT AFFAIRS,2022-01-13,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
REGULATION-TECH,2021-02-11,2021-04-23,Rule 19(a) / Re-referred to Rules Committee
CD CORR-POINT OF CONTACT PERSN,2022-01-13,2022-06-10,Public Act . . . . . . . . . 102-1082
AUDIT-LASALLE VETS-COVID19,2021-02-05,2022-03-23,Added Chief Co-Sponsor Rep. Carol Ammons
CCR SURFACE IMPOUNDMENT,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
OUT OF SCHOOL PROGRAMS-SUPPORT,2022-01-21,2022-05-10,Pursuant to Senate Rule 3-9(b) / Referred to Assignments
SM WIRELESS FACILITIES-VARIOUS,2021-02-17,2021-08-30,Added Co-Sponsor Rep. Chris Miller
ENVIRONMENT-TECH,2021-01-29,2021-05-31,Rule 3-9(a) / Re-referred to Assignments
SOIL HEALTH WEEK,2022-01-13,2022-03-24,Resolution Adopted
CD CORR-CORRECTIONAL OFFICER,2021-02-19,2021-08-27,Public Act . . . . . . . . . 102-0616
SCH CD-EVIDENCE-BASED FUNDING,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
EMERGENCY MEDICAL DISPATCHERS,2022-01-25,2022-03-08,Referred to Assignments
WEEK OF THE YOUNG CHILD,2021-05-11,2021-05-11,Referred to Assignments
FIREFIGHTER EXAMINATION AGE,2021-02-26,2021-08-13,Public Act . . . . . . . . . 102-0375
VEH CD-REMOTE STARTER-IDLING,2021-02-19,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
CONGRATS-CHICAGO HGTS ROTARY,2022-04-05,2022-04-06,Resolution Adopted
CD CORR-VISITATION RESTRICT,2021-08-31,2021-08-31,Referred to Assignments
MEMORIAL-JANICE MITCHELL,2021-12-07,2022-01-05,Resolution Adopted
SCH CD-DATA-INCIDENTS-VIOLENCE,2021-02-24,2021-08-06,Public Act . . . . . . . . . 102-0294
STATE JOBS GUARANTEE,2021-02-19,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
HHS BUDGET,2021-03-15,2021-07-16,Pursuant to Senate Rule 3-9(b) / Referred to Assignments
SCH CD-HEALTH ED/SEX ABUSE,2021-02-24,2021-04-21,Added as Co-Sponsor Sen. Laura Ellman
SCH CD-WEAPON-VIOLENCE REPORT,2022-01-19,2022-01-19,Referred to Assignments
EPA-DEBRIS RECOVERY FACILITY,2021-02-25,2021-08-06,Public Act . . . . . . . . . 102-0310
SAFE PHARMACEUTICAL DISPOSAL,2021-02-24,2021-05-27,Added Alternate Co-Sponsor Rep. Dagmara Avelar
RIVERS OF IL COORD COUNCIL ACT,2022-01-13,2022-05-27,Public Act . . . . . . . . . 102-1008
DCFS-COVID VACCINE-REFUSAL,2022-01-25,2022-01-27,Referred to Rules Committee
DETENTION-DCFS WARD,2021-02-26,2021-08-27,Public Act . . . . . . . . . 102-0654
EPA-CIVIL PENALTIES,2022-01-12,2022-01-12,Referred to Assignments
FREEDOM SCHOOLS/ADVANCED PLACE,2021-02-25,2021-07-30,Public Act . . . . . . . . . 102-0209
COVID-19 SAFETY RESPONSE ACT,2021-02-19,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
COMMEND-STUDENT LEGISLATION,2021-03-26,2021-04-13,Resolution Adopted
DHS-GAMBLING DISORDERS,2022-03-22,2022-03-22,Referred to Assignments
COMMENDS-KNOTTY LUXE ARTS FDN,2022-08-25,2022-08-25,Filed with the Clerk by Rep. William Davis
IMMIGRATION STATUS-ACCESS,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
PHOTOVOLTAIC MODULE PROGRAM,2022-01-11,2022-02-10,Rule 3-9(a) / Re-referred to Assignments
SCH CD-DRESS CODE POLICY,2021-11-17,2022-01-05,Referred to Rules Committee
EARLY CHILDHOOD PROGRAM ELIGIB,2021-02-16,2021-04-23,House Floor Amendment No. 2 Rule 19(c) / Re-referred to Rules Committee
PROTECT SMOKE FREE IL ACT,2022-03-07,2022-04-09,Adopted Both Houses
DFPR-HARASSMENT PREVENTION,2021-02-25,2021-08-06,Public Act . . . . . . . . . 102-0308
EARLY INTERVENTION SERVICES,2022-01-26,2022-05-27,Public Act . . . . . . . . . 102-0962
SCH CD-CONTRCT AWARD-INFLATION,2022-01-28,2022-01-31,Referred to Rules Committee
BUSINESS ORGANIZATIONS VARIOUS,2021-02-19,2021-04-23,Rule 19(a) / Re-referred to Rules Committee
BEP-DISADVANTAGED PERSONS,2021-02-26,2022-02-10,Rule 3-9(a) / Re-referred to Assignments
HAZARDOUS MATERIALS WORKFORCE,2021-02-23,2021-02-23,Referred to Assignments
CRIM CD-CRITICAL INFRASTRUCTRE,2021-02-11,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
DEAF-HARD OF HEARING-DEAFBLIND,2021-01-13,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
SCHOOLS-MISCELLANEOUS,2022-01-21,2022-05-20,Public Act . . . . . . . . . 102-0894
ECUMENICAL SEE DAY,2021-03-04,2021-05-06,Resolution Adopted
LARRY DIETZ DAY,2021-05-05,2021-05-05,Referred to Assignments
EMERGENCY MEDICAL DISPATCHERS,2022-01-19,2022-02-10,Rule 3-9(a) / Re-referred to Assignments
METRO EAST DEVELOPMENT ACT,2021-01-27,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
LICENSE INFORMATION TASK FORCE,2022-01-28,2022-06-10,Public Act . . . . . . . . . 102-1078
HERPTILES-HERPS-VARIOUS,2021-02-25,2021-08-06,Public Act . . . . . . . . . 102-0315
MUNI CODE-CONTIGUOUS PARCELS,2021-02-03,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
BAN LIVESTOCK WASTE LAGOONS,2022-01-05,2022-01-05,Referred to Assignments
TEEN DATING VIOLENCE AWARENESS,2021-04-05,2021-05-21,Resolution Adopted
THRIVE AGENDA-ECONOMY,2021-03-16,2021-05-06,Resolution Adopted
EDUCATION-TECH,2021-02-11,2022-04-11,Rule 19(a) / Re-referred to Rules Committee
SAFE-T ACT-URGES REPEAL,2022-01-05,2022-10-03,Added Co-Sponsor Rep. Adam Niemerg
ENVIRONMENT-ALTERNATE FUELS,2021-01-25,2021-03-27,House Committee Amendment No. 1 Rule 19(c) / Re-referred to Rules Committee
PREVENTION CHILD SEXUAL ABUSE,2021-02-16,2022-04-09,Added as Alternate Co-Sponsor Sen. Laura Ellman
SAFETY-TECH,2021-02-25,2021-07-16,Senate Floor Amendment No. 1 Pursuant to Senate Rule 3-9(b) / Referred to Assignments
LIMIT RESTRAINT/SECLUSION USE,2021-04-29,2021-04-29,Referred to Assignments
KASKASKIA PORT DIST-OWN/LEASE,2021-07-30,2022-05-06,Public Act . . . . . . . . . 102-0725
JLMC-FIREFIGHTER APPOINTMENTS,2021-02-09,2021-07-30,Public Act . . . . . . . . . 102-0188
CONGRATS-LARRY MILBY,2022-04-26,2022-04-26,Filed with the Clerk by Rep. Dan Brady
GROW YOUR OWN TEACHER-ISAC,2021-02-16,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
JUVENILE CT-PERMANENCY GOAL,2021-02-23,2021-03-04,Referred to Rules Committee
SEXUAL HARASSMENT TRAINING,2022-01-26,2022-02-18,Rule 19(a) / Re-referred to Rules Committee
ENVIRONMENTAL RESPONSE PROJECT,2022-01-27,2022-03-04,Referred to Assignments
CORPORATIONS LGBTQ DIRECTORS,2021-02-26,2021-07-30,Public Act . . . . . . . . . 102-0223
ONE DAY REST IN 7-APPLICATION,2022-01-18,2022-05-27,Public Act . . . . . . . . . 102-1012
FEDERAL STRANDED ACT OF 2021,2022-03-28,2022-04-08,Resolution Adopted
REMAN DAY 2022,2022-02-23,2022-02-23,Referred to Assignments
JUV CT-DCFS ASSESSMENT,2021-02-19,2021-08-20,Public Act . . . . . . . . . 102-0489
SCH CD-REPORTING REQUIREMENTS,2022-01-27,2022-03-07,Referred to Assignments
PLASTIC RECYCLE MODERNIZATION,2022-01-21,2022-01-21,Referred to Assignments
SCH-NONEXCLUSIONARY DISCIPLINE,2022-01-21,2022-03-25,Rule 3-9(a) / Re-referred to Assignments
FAMILY-VISITATION PROCEEDINGS,2021-02-18,2021-03-27,Rule 19(a) / Re-referred to Rules Committee
CHILD CARE-DFPR/DCFS,2022-03-03,2022-03-08,Added as Co-Sponsor Sen. Dale Fowler
POLICE TRAINING-BACK THE BADGE,2021-02-19,2022-03-04,Added Co-Sponsor Rep. Charles Meier
PROCURE DOMESTIC PRODUCTS,2021-02-19,2022-03-25,Rule 3-9(a) / Re-referred to Assignments
SICK LEAVE BANK-SCH CD-MISC,2021-02-26,2021-02-26,Referred to Assignments
HEALTH SURROGATE-POLST CHANGES,2021-02-03,2021-07-23,Public Act . . . . . . . . . 102-0140
SCH CD-AWARD OF CONTRACTS,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
FIREFIGHTING FOAM,2021-02-26,2021-04-16,Rule 3-9(a) / Re-referred to Assignments
GOVERNMENT SEVERANCE PAY,2021-02-26,2021-08-13,Public Act . . . . . . . . . 102-0378
SCH CD-BULLYING PREVENTION,2021-02-25,2021-08-03,Public Act . . . . . . . . . 102-0241
